symbol,time,open,high,low,close,tick_volume,spread,real_volume
EURUSD,2018.03.21 13:00:00,1.22782,1.22860,1.22746,1.22821,8526,11,0
EURUSD,2018.03.21 14:00:00,1.22826,1.22838,1.22639,1.22738,11198,11,0
EURUSD,2018.03.21 15:00:00,1.22739,1.22852,1.22689,1.22844,13068,11,0
EURUSD,2018.03.21 16:00:00,1.22843,1.22953,1.22802,1.22886,12320,11,0
EURUSD,2018.03.21 17:00:00,1.22886,1.22901,1.22790,1.22870,9602,11,0
EURUSD,2018.03.21 18:00:00,1.22871,1.22935,1.22658,1.22676,11420,11,0
EURUSD,2018.03.21 19:00:00,1.22677,1.22681,1.22565,1.22615,8917,11,0
EURUSD,2018.03.21 20:00:00,1.22616,1.22823,1.22586,1.22770,7050,11,0
EURUSD,2018.03.21 21:00:00,1.22772,1.23310,1.22504,1.23291,41283,11,0
EURUSD,2018.03.21 22:00:00,1.23293,1.23473,1.23230,1.23450,19470,11,0
EURUSD,2018.03.21 23:00:00,1.23451,1.23493,1.23373,1.23377,3533,11,0
EURUSD,2018.03.22 00:00:00,1.23377,1.23427,1.23369,1.23379,2859,11,0
EURUSD,2018.03.22 01:00:00,1.23379,1.23422,1.23376,1.23418,1897,11,0
EURUSD,2018.03.22 02:00:00,1.23418,1.23488,1.23408,1.23458,3239,11,0
EURUSD,2018.03.22 03:00:00,1.23457,1.23684,1.23437,1.23674,8827,11,0
EURUSD,2018.03.22 04:00:00,1.23672,1.23685,1.23612,1.23635,5683,11,0
EURUSD,2018.03.22 05:00:00,1.23635,1.23643,1.23573,1.23584,4340,11,0
EURUSD,2018.03.22 06:00:00,1.23584,1.23637,1.23544,1.23628,2893,11,0
EURUSD,2018.03.22 07:00:00,1.23628,1.23647,1.23592,1.23597,1944,11,0
EURUSD,2018.03.22 08:00:00,1.23597,1.23599,1.23443,1.23450,3983,11,0
EURUSD,2018.03.22 09:00:00,1.23450,1.23573,1.23411,1.23525,4982,11,0
EURUSD,2018.03.22 10:00:00,1.23525,1.23881,1.23511,1.23726,12587,11,0
EURUSD,2018.03.22 11:00:00,1.23726,1.23744,1.23507,1.23563,11891,11,0
EURUSD,2018.03.22 12:00:00,1.23560,1.23588,1.23289,1.23337,13313,11,0
EURUSD,2018.03.22 13:00:00,1.23336,1.23350,1.23074,1.23173,9700,11,0
EURUSD,2018.03.22 14:00:00,1.23173,1.23254,1.23100,1.23230,9237,11,0
EURUSD,2018.03.22 15:00:00,1.23230,1.23310,1.23060,1.23127,20035,11,0
EURUSD,2018.03.22 16:00:00,1.23129,1.23232,1.23034,1.23212,19342,11,0
EURUSD,2018.03.22 17:00:00,1.23211,1.23250,1.23006,1.23083,15655,11,0
EURUSD,2018.03.22 18:00:00,1.23084,1.23115,1.22954,1.23099,14901,11,0
EURUSD,2018.03.22 19:00:00,1.23101,1.23178,1.22849,1.23059,19618,11,0
EURUSD,2018.03.22 20:00:00,1.23058,1.23104,1.22914,1.23020,9627,11,0
EURUSD,2018.03.22 21:00:00,1.23021,1.23141,1.22997,1.23055,6743,11,0
EURUSD,2018.03.22 22:00:00,1.23055,1.23221,1.23048,1.23175,10401,11,0
EURUSD,2018.03.22 23:00:00,1.23182,1.23189,1.22992,1.23004,4629,11,0
EURUSD,2018.03.23 00:00:00,1.23004,1.23090,1.22967,1.23059,4430,11,0
EURUSD,2018.03.23 01:00:00,1.23061,1.23227,1.23055,1.23196,6105,11,0
EURUSD,2018.03.23 02:00:00,1.23198,1.23282,1.23155,1.23237,4911,11,0
EURUSD,2018.03.23 03:00:00,1.23239,1.23406,1.23189,1.23362,9115,11,0
EURUSD,2018.03.23 04:00:00,1.23362,1.23370,1.23251,1.23288,6649,11,0
EURUSD,2018.03.23 05:00:00,1.23288,1.23408,1.23264,1.23323,5796,11,0
EURUSD,2018.03.23 06:00:00,1.23323,1.23373,1.23302,1.23341,2882,11,0
EURUSD,2018.03.23 07:00:00,1.23340,1.23356,1.23309,1.23339,2000,11,0
EURUSD,2018.03.23 08:00:00,1.23336,1.23380,1.23306,1.23313,2730,11,0
EURUSD,2018.03.23 09:00:00,1.23312,1.23465,1.23312,1.23442,6745,11,0
EURUSD,2018.03.23 10:00:00,1.23442,1.23482,1.23161,1.23212,11294,11,0
EURUSD,2018.03.23 11:00:00,1.23211,1.23401,1.23194,1.23357,12838,11,0
EURUSD,2018.03.23 12:00:00,1.23357,1.23395,1.23190,1.23235,9203,11,0
EURUSD,2018.03.23 13:00:00,1.23236,1.23336,1.23231,1.23299,6818,11,0
EURUSD,2018.03.23 14:00:00,1.23297,1.23454,1.23267,1.23436,9412,11,0
EURUSD,2018.03.23 15:00:00,1.23437,1.23593,1.23335,1.23376,14579,11,0
EURUSD,2018.03.23 16:00:00,1.23379,1.23457,1.23222,1.23358,13037,11,0
EURUSD,2018.03.23 17:00:00,1.23359,1.23544,1.23347,1.23366,14615,11,0
EURUSD,2018.03.23 18:00:00,1.23366,1.23619,1.23344,1.23580,14207,11,0
EURUSD,2018.03.23 19:00:00,1.23583,1.23664,1.23485,1.23620,10287,11,0
EURUSD,2018.03.23 20:00:00,1.23621,1.23676,1.23550,1.23612,7819,11,0
EURUSD,2018.03.23 21:00:00,1.23613,1.23729,1.23550,1.23669,6842,11,0
EURUSD,2018.03.23 22:00:00,1.23668,1.23700,1.23597,1.23643,10383,11,0
EURUSD,2018.03.23 23:00:00,1.23644,1.23660,1.23502,1.23530,5067,11,0
EURUSD,2018.03.26 00:00:00,1.23485,1.23599,1.23484,1.23573,516,11,0
EURUSD,2018.03.26 01:00:00,1.23576,1.23668,1.23564,1.23663,1258,11,0
EURUSD,2018.03.26 02:00:00,1.23663,1.23664,1.23528,1.23538,2324,11,0
EURUSD,2018.03.26 03:00:00,1.23538,1.23819,1.23511,1.23688,6319,11,0
EURUSD,2018.03.26 04:00:00,1.23687,1.23708,1.23635,1.23695,4888,11,0
EURUSD,2018.03.26 05:00:00,1.23695,1.23757,1.23665,1.23747,3287,11,0
EURUSD,2018.03.26 06:00:00,1.23748,1.23807,1.23715,1.23726,3785,11,0
EURUSD,2018.03.26 07:00:00,1.23726,1.23755,1.23707,1.23727,2144,11,0
EURUSD,2018.03.26 08:00:00,1.23729,1.23730,1.23642,1.23654,3296,11,0
EURUSD,2018.03.26 09:00:00,1.23653,1.23698,1.23610,1.23614,7830,11,0
EURUSD,2018.03.26 10:00:00,1.23611,1.23934,1.23584,1.23823,11485,11,0
EURUSD,2018.03.26 11:00:00,1.23823,1.23981,1.23738,1.23917,8077,11,0
EURUSD,2018.03.26 12:00:00,1.23916,1.24161,1.23912,1.24053,10016,11,0
EURUSD,2018.03.26 13:00:00,1.24053,1.24120,1.23979,1.24027,7116,11,0
EURUSD,2018.03.26 14:00:00,1.24026,1.24165,1.24026,1.24063,8421,11,0
EURUSD,2018.03.26 15:00:00,1.24061,1.24122,1.23995,1.24000,10487,11,0
EURUSD,2018.03.26 16:00:00,1.24000,1.24388,1.23975,1.24358,16101,11,0
EURUSD,2018.03.26 17:00:00,1.24359,1.24483,1.24327,1.24411,14347,11,0
